question,preprocessed_query,ground_truth,expected_document,retrieved_documents,retrieval_scores,generated_answer,faithfulness,answer_relevancy,context_precision,context_recall,hit_rate,preprocessing_time,embedding_time,vector_retrieval_time,llm_time,total_response_time
Is software patching mandatory on corporate workstations?,software patching mandatory corporate workstations,Workstation security patches and OS updates are automatically pushed and compulsory.,IT security policy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf,0.4383|0.394|0.392|0.379|0.3732,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99908, Requested 837. Please try again in 10m43.68s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.01,0.0429,2.5593,0.1748,2.787
What is the per-diem allowance for international business trips?,per diem allowance international business trips,"International per-diem allowances vary by country tier, ranging between $75 and $120 per day.",TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.4876|0.4603|0.4494|0.4415|0.4407,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99904, Requested 616. Please try again in 7m29.28s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0104,0.0384,2.6404,0.1751,2.8643
Who pays for passport and visa renewal for business travel?,pays passport visa renewal business travel,Visa fees and official passport renewal charges for business travel are fully covered by the company.,TravelPolicy.pdf,TravelPolicy.pdf|EmployeeBenefits.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.3612|0.3462|0.304|0.2753|0.271,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99900, Requested 688. Please try again in 8m28.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0072,0.0455,2.7333,0.1608,2.9469
What insurance protection is provided during international travel?,insurance protection provided during international travel,Employees receive comprehensive travel medical and emergency assistance insurance for abroad trips.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.5539|0.5026|0.4882|0.4878|0.4792,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99896, Requested 648. Please try again in 7m50.016s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0089,0.0408,2.5957,0.1889,2.8343
What is the maximum daily taxi fare limit for local business travel?,maximum daily taxi fare limit local business travel,Local travel reimbursement covers actual metered cab fares or app-based rides up to $40 daily.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.4345|0.4087|0.33|0.3115|0.3104,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99892, Requested 647. Please try again in 7m45.696s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0108,0.0412,2.5757,0.1969,2.8247
Can rental cars be booked for domestic business trips?,rental cars booked domestic business trips,Rental car booking requires prior approval from the Travel Desk and line manager.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.4562|0.3633|0.357|0.347|0.3401,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99888, Requested 652. Please try again in 7m46.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0083,0.0483,2.5651,0.1767,2.7984
What is the optical or dental care benefit limit?,optical dental care benefit limit,Dental and vision care benefits cover up to $250 annually under the supplemental benefits plan.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf,0.2711|0.2703|0.2604|0.2436|0.2356,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99884, Requested 849. Please try again in 10m33.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0085,0.043,2.578,0.178,2.8074
Is parental leave available for adopting a child?,parental leave available adopting child,Adopting parents receive up to 12 weeks of paid adoption leave.,EmployeeBenefits.pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.6398|0.4555|0.4011|0.3309|0.3295,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99880, Requested 761. Please try again in 9m13.824s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0099,0.0517,2.553,0.1638,2.7784
What employee referral bonuses are awarded for technical roles?,employee referral bonuses awarded technical roles,"Successful candidate referrals for senior tech roles yield a referral bonus of $1,500 after 90 days of joining.",EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf,0.6446|0.5327|0.4211|0.4032|0.3787,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99875, Requested 824. Please try again in 10m3.935999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0093,0.0445,2.5707,0.1786,2.8031
Are relocation allowances provided for outstation hires?,relocation allowances provided outstation hires,Eligible outstation hires receive a one-time relocation stipend and temporary lodging for 14 days.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|TravelPolicy.pdf|LeavePolicy(1).pdf|TravelPolicy.pdf|WorkFromHomePolicy.pdf,0.4111|0.393|0.3881|0.3862|0.374,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99871, Requested 730. Please try again in 8m39.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0146,0.0463,2.6001,0.1603,2.8214
Does the company offer flexible working hours?,company offer flexible working hours,Flexible start times between 8:00 AM and 10:00 AM are allowed provided total daily hours are met.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|WorkFromHomePolicy.pdf|Training_Period_Policy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.5917|0.5529|0.4711|0.4004|0.4003,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99867, Requested 767. Please try again in 9m7.776s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0074,0.0376,2.619,0.1911,2.8551
Are sleeveless tops or shorts permitted in the office?,sleeveless tops shorts permitted office,"Sleeveless tops, shorts, and flip-flops are not permitted under the workplace dress code policy.",Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.5869|0.5342|0.4731|0.4596|0.4401,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99863, Requested 638. Please try again in 7m12.864s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0209,0.1111,2.554,0.1852,2.8712
What is the dress code expectation for client presentations?,dress code expectation client presentations,Client-facing presentations require formal business attire.,Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.6031|0.5881|0.571|0.5527|0.5368,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99859, Requested 628. Please try again in 7m0.768s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0176,0.0509,2.6196,0.1755,2.8637
Is footwear specified under the workplace safety dress policy?,footwear specified under workplace safety dress policy,"Closed-toe shoes are required in lab, server room, and technical operations areas.",Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.8188|0.7322|0.6854|0.6694|0.6669,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99855, Requested 646. Please try again in 7m12.864s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.01,0.0509,2.5585,0.175,2.7943
How long is the training evaluation phase for technical roles?,long training evaluation phase technical roles,The technical training evaluation phase spans the first 90 days of employment.,Training_Period_Policy.pdf,Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf|Company Training Period Policy.docx,0.6265|0.6192|0.6078|0.5889|0.5823,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99851, Requested 810. Please try again in 9m31.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0039,0.0218,2.6404,0.178,2.8441
Are probationers entitled to take casual leaves during training?,probationers entitled take casual leaves during training,Probationers earn 1 day of casual leave per month during the training period.,Training_Period_Policy.pdf,Training_Period_Policy.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx|Training_Period_Policy.pdf|LeavePolicy(1).pdf,0.5517|0.5261|0.4988|0.4988|0.492,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99847, Requested 702. Please try again in 7m54.336s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0046,0.0241,2.5531,0.1834,2.7652
What key deliverables are expected during the first 30 days of training?,key deliverables expected during first 30 days training,"The first 30 days focus on onboarding, policy compliance completion, and initial project shadowing.",Company Training Period Policy.docx,Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf,0.4862|0.4469|0.441|0.4393|0.4313,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99843, Requested 859. Please try again in 10m6.528s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0044,0.0183,2.5287,0.187,2.7384
Who conducts the final confirmation assessment at the end of probation?,conducts final confirmation assessment end probation,The final confirmation assessment is conducted by the Department Head alongside HR.,Company Training Period Policy.docx,Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf,0.3852|0.3852|0.3308|0.3281|0.3213,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99839, Requested 784. Please try again in 8m58.272s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0071,0.0369,2.5428,0.1701,2.757
What happens if a trainee fails the final probation assessment?,happens if trainee fails final probation assessment,"If performance remains unsatisfactory after extension, employment may be terminated as per policy terms.",Company Training Period Policy.docx,Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf,0.5255|0.5255|0.3985|0.3985|0.3969,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99835, Requested 603. Please try again in 6m18.432s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0039,0.0224,2.5719,0.1759,2.7741
How are training feedback sessions scheduled for new joiners?,training feedback sessions scheduled new joiners,Feedback sessions occur bi-weekly with team mentors and monthly with HR.,Company Training Period Policy.docx,Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx|Training_Period_Policy.pdf,0.4768|0.4663|0.4553|0.4411|0.4312,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99831, Requested 905. Please try again in 10m35.904s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0047,0.0183,2.5669,0.1739,2.7638
What is the policy for medical leave during probation?,policy medical leave during probation,Medical leave during probation is granted upon submission of medical evidence.,Training_Period_Policy.pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.5068|0.4799|0.4652|0.46|0.446,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99827, Requested 709. Please try again in 7m43.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,0.0,0.0038,0.0195,2.558,0.1846,2.7659
Are training materials and course fees fully covered by the organization?,training materials course fees fully covered organization,All official internal and external training programs mandated by management are fully funded.,Company Training Period Policy.docx,Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf|Company Training Period Policy.docx,0.4502|0.4352|0.4343|0.4208|0.4206,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99823, Requested 589. Please try again in 5m55.968s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0031,0.0146,2.5323,0.182,2.732
